name,price,url
Pistachio & Cranberry,6.5,https://www.chocolate.co.uk/products/pistachio-cranberry-chocolate-bar
Praline Quail Eggs,12.35,https://www.chocolate.co.uk/products/praline-quail-eggs
Pretzel Caramel,6.5,https://www.chocolate.co.uk/products/pretzel-caramel-chocolate-bar
Roasted Almonds,11.635,https://www.chocolate.co.uk/products/cocoa-dusted-almonds
Rose & Violet Creams,25.935,https://www.chocolate.co.uk/products/rose-violet-creams
Salt Caramel Malt Balls,11.700000000000001,https://www.chocolate.co.uk/products/salt-caramel-malt-balls
Salt Caramelised Hazelnuts,11.635,https://www.chocolate.co.uk/products/salt-caramelised-hazelnuts
Salted Caramel,6.5,https://www.chocolate.co.uk/products/blonde-chocolate-sea-salt
Salted Caramel Florentines,14.950000000000001,https://www.chocolate.co.uk/products/salted-caramel-florentines
Salted Caramel Milk Chocolate Easter Egg,38.935,https://www.chocolate.co.uk/products/copy-of-pre-order-tea-biscuit-easter-egg
Salted Caramel Quail Eggs,12.35,https://www.chocolate.co.uk/products/salted-caramel-quail-eggs
Salted Caramels Blonde Chocolate,25.935,https://www.chocolate.co.uk/products/salted-caramels-blonde-chocolate
Salted Caramels Dark Chocolate,25.935,https://www.chocolate.co.uk/products/salt-caramels-dark-chocolate
Salted Caramels Milk Chocolate,25.935,https://www.chocolate.co.uk/products/salt-caramels-milk-chocolate
Tea & Biscuit Blonde Chocolate Easter Egg,38.935,https://www.chocolate.co.uk/products/pre-order-tea-biscuit-easter-egg
Valrhona Araguani - 72%,100.75,https://www.chocolate.co.uk/products/valrhona-araguani-72
Valrhona Bahibe 46%,97.5,https://www.chocolate.co.uk/products/valrhona-bahibe
Valrhona Biskelia 34%,97.5,https://www.chocolate.co.uk/products/valrhona-biskelia-34
Valrhona Caraibe 66%,97.5,https://www.chocolate.co.uk/products/valrhona-caraibe-66
Valrhona Caramelia 36%,97.5,https://www.chocolate.co.uk/products/valrhona-caramelia-36
Valrhona Dulcey 32%,100.75,https://www.chocolate.co.uk/products/valrhona-dulcey-32
Valrhona Guanaja 70%,97.5,https://www.chocolate.co.uk/products/valrhona-guanaja-70
Valrhona Jivara 40%,97.5,https://www.chocolate.co.uk/products/valrhona-jivara-40
Valrhona Manjari 64%,97.5,https://www.chocolate.co.uk/products/valrhona-manjari-64
Valrhona Opalys 33%,97.5,https://www.chocolate.co.uk/products/valrhona-opalys-33
Velvet White,6.5,https://www.chocolate.co.uk/products/velvet-white-chocolate-bar
